S_No,PaperID,Title,TR ,Volumes,ScanTime(Min.Sec),EyeStatus,MFStrength,NumHealthy(M),NumHealthy(F),NumASD(M),NumASD(F),NumAutistic,NumHighFunctioning,LanguageImpaired,NumAspergsr's,NumPDD-NOS,AgeRangeHealthyMean,AgeRangeHealthyStd,AgeRangeASDMean,AgeRangeASDStd,AgeRangeAutistic,AgeRangeAspergsr's,AgeRangePDD-NOS,FIQMean_ASD,FIQStd_ASD,FIQMean_TD,FIQStd_TD,BandpassRangeHighpass(Hz),BandpassRangeLowpass(Hz),Smoothing(fwhm)mm,GSR,CSF,WM,Motion Params,Age,Scrubbing,GCOR,aCOMPCor,Cardiac and respiratory signals regression,Despiking,SeedName,SeedMNI,UnderConnectivityName,UnderConnectivityMNI,OverConnectivityName,OverConnectivityMNI,Notes,Tool,Scanner,DSM,ROIxROI,ROIxVoxels,Participants,Medication,Comorbidities,FIQ >,Over(1) /Under(-1) / Both (0),Summary,Bibtex Citation,IQ Notes
11,2,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4,1,1,1,1,,1,,,,,Thalamus,-6 -12 9,,,Middle temporal,48 -33 -3,,,,,,,,,,,,,,
12,2,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4,1,1,1,1,,1,,,,,Thalamus,-6 -12 9,,,Insula,36 -9 6,,,,,,,,,,,,,,
13,3,"Olivito, G., Lupo, M., Laghi, F., Clausi, S., Baiocco, R., Cercignani, M., ... & Leggio, M. (2018). Lobular patterns of cerebellar resting‐state connectivity in adults with Autism Spectrum Disorder. European Journal of Neuroscience, 47(6), 729-735.",2080,220,7.2,Closed,3,14,9,5,5,,,,,,25.5,4.2,25.4,9,,,,,,,,0.01,0.08,8,1,,,1,,,,,,,Crus II,29 -73 -43,Middle temporal gyrus,-56 -18 -10,Lobule V,26 -42 -20,,"FSl, SPM",,5,,1,Original,None,None,70,0,Olivitio et al. went ahead and analyzed both voxel morphometry as well as functional connectivity of cerebellum with the whole brain. They found volume of crux II of cerebellum to be altered in ASD. With the Crux II as seed they performed based analysis and found cerebellar-cerebrum underconnectivity with cerebellar-cerebellar overconenctivity.  ,"@article{olivito2018lobular,
  title={Lobular patterns of cerebellar resting-state connectivity in adults with Autism Spectrum Disorder},
  author={Olivito, Giusy and Lupo, Michela and Laghi, Fiorenzo and Clausi, Silvia and Baiocco, Roberto and Cercignani, Mara and Bozzali, Marco and Leggio, Maria},
  journal={European Journal of Neuroscience},
  volume={47},
  number={6},
  pages={729--735},
  year={2018},
  publisher={Wiley Online Library}
}
",
14,3,,2080,220,7.2,Closed,3,14,9,5,5,,,,,,25.5,4.2,25.4,9,,,,,,,,0.01,0.08,8,1,,,1,,,,,,,Crus II,29 -73 -43,Inferior temporal gyrus,-48 -44 -12,Lobule VI,-24 -46 -30,,,,,,,,,,,,,,
15,3,,2080,220,7.2,Closed,3,14,9,5,5,,,,,,25.5,4.2,25.4,9,,,,,,,,0.01,0.08,8,1,,,1,,,,,,,Crus II,29 -73 -43,Paracingulate cortex,-8 56 6,Lobule VI,26 -48 -26,,,,,,,,,,,,,,
16,3,,2080,220,7.2,Closed,3,14,9,5,5,,,,,,25.5,4.2,25.4,9,,,,,,,,0.01,0.08,8,1,,,1,,,,,,,Crus II,29 -73 -43,Frontal pole,-6 62 14,,,,,,,,,,,,,,,,
17,3,,2080,220,7.2,Closed,3,14,9,5,5,,,,,,25.5,4.2,25.4,9,,,,,,,,0.01,0.08,8,1,,,1,,,,,,,Crus II,29 -73 -43,Precuneus,-2 -70 32,,,,,,,,,,,,,,,,
18,3,,2080,220,7.2,Closed,3,14,9,5,5,,,,,,25.5,4.2,25.4,9,,,,,,,,0.01,0.08,8,1,,,1,,,,,,,Crus II,29 -73 -43,Precuneus,10 -74 34,,,,,,,,,,,,,,,,
19,4,"Hong, S. J., Valk, S. L., Di Martino, A., Milham, M. P., & Bernhardt, B. C. (2017). Multidimensional Neuroanatomical Subtyping of Autism Spectrum Disorder. Cerebral Cortex, 1-11.",ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L Anterior Temporal ROI,-50 -5 -22, R Dorsomedial Frontal ,8 52 21,,,,"Free surfer, C PAC",,4,1,,ABIDE 1,,,-,-1,Hong et al. categorised ASD subject into 3 neuroanatomical subtypes and did supervised learning for single subject prediction of ADOS scores. They got a better performance with their subtyping approach. They also did ROIxROI resting state FC analysis for subjects in each of the subtypes independently with ROIs identified using meta analysis of published studies on mentalizing and communication from Neurosynth.org. They observed underconnectivity in all the 3 subtypes as compared to TD.   ,"@article{hong2017multidimensional,
  title={Multidimensional Neuroanatomical Subtyping of Autism Spectrum Disorder},
  author={Hong, Seok-Jun and Valk, Sofie L and Di Martino, Adriana and Milham, Michael P and Bernhardt, Boris C},
  journal={Cerebral Cortex},
  pages={1--11},
  year={2017}
}",
20,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L Anterior Temporal ROI,-50 -5 -22, R ventromedial Frontal,5 43 -17,,,,,,,,,,,,,,,,
21,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L Anterior Temporal ROI,-50 -5 -22,L TPJ,-49 -55 22,,,,,,,,,,,,,,,,
22,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L Anterior Temporal ROI,-50 -5 -22,L Precuneus,-7 -57 35,,,,,,,,,,,,,,,,
23,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L Anterior Temporal ROI,-50 -5 -22,L Dorsomedial Frontal,-5 51 30,,,,,,,,,,,,,,,,
24,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L Anterior Temporal ROI,-50 -5 -22,L ventromedial Frontal,-7 45 -11,,,,,,,,,,,,,,,,
25,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L TPJ ,-49 -55 22,R Anterior Temporal ROI ,55 -10 -20,,,,,,,,,,,,,,,,
26,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L TPJ,-49 -55 22,L Anterior Temporal ROI,-50 -5 -22,,,,,,,,,,,,,,,,
27,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L Precuneus  ,-7 -57 35,R Anterior Temporal ROI ,55 -10 -20,,,,,,,,,,,,,,,,
28,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,Left Posterior Central ,-54 -23 31,R Superior temporal (posterior),53 -31 0,,,,,,,,,,,,,,,,
29,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L Fusiform ,-42 -51 -15,R Mesial temporal,27 -2 -17,,,,,,,,,,,,,,,,
30,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L Fusiform,-42 -51 -15,L Inferior frontal ,-48 11 18,,,,,,,,,,,,,,,,
31,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L Fusiform,-42 -51 -15,L inferior lateral occipital cortex,-44 -69 6,,,,,,,,,,,,,,,,
32,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L Fusiform ,-42 -51 -15,R Mesial temporal,27 -2 -17,,,,,,,,,,,,,,,,
33,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L inferior lateral occipital cortex,-44 -69 6,R Superior temporal (posterior),53 -31 0,,,,,,,,,,,,,,,,
34,4,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,113,,107,,,,,,,19.3,7.3,20.9,8,,,,104,15.7,114,12.3,0.01,0.1,5,,1,1,1,,,,CompCor,,,L inferior lateral occipital cortex,-44 -69 6,L superior frontal,-7 11 52,,,,,,,,,,,,,,,,
38,6,"Wang, J., Fu, K., Chen, L., Duan, X., Guo, X., Chen, H., ... & Chen, H. (2017). Increased Gray Matter Volume and Resting-State Functional Connectivity in Somatosensory Cortex and their Relationship with Autistic Symptoms in Young Boys with Autism Spectrum Disorder. Frontiers in physiology, 8, 588.",2000,210,7,Sedated Sleep,3,27,0,25,0,,,,,,4.83,1.2,4.74,0.87,,,,,,,,0.01,0.1,6,,1,1,1,,1,,CompCor,,,Left Postcentral Gyrus (PCG),-61 -7 31,R Superior Parietal,24 -60 66,R Angular Gyrus,42 -57 27,,"SMP12, DPARSF",AchievaMagnetic Resonance System (Philips),5,,1,Original,Sedation using chloral hydrate,None,-,0,One of the studies that utilised youngest of cohorts was by Wang et al. where they took children with age 3-7 years and used a combined method where they found the regions with altered grey matter volume in ASD using VBM and then took these regions as seeds and did a seed-voxel based FC analysis. Incleased GMV was found in left superior temporal gyrus (STG) and left postcentral gyrus (PCG) in ASD children. Taking both of these regions as seeds for FC analysis revealed altered PCG connectivity in ASD children.,"@article{wang2017increased,
  title={Increased Gray Matter Volume and Resting-State Functional Connectivity in Somatosensory Cortex and their Relationship with Autistic Symptoms in Young Boys with Autism Spectrum Disorder},
  author={Wang, Jia and Fu, Kuang and Chen, Lei and Duan, Xujun and Guo, Xiaonan and Chen, Heng and Wu, Qiong and Xia, Wei and Wu, Lijie and Chen, Huafu},
  journal={Frontiers in physiology},
  volume={8},
  pages={588},
  year={2017},
  publisher={Frontiers}
}",
39,6,,2000,210,7,Sedated Sleep,3,27,0,25,0,,,,,,4.83,1.2,4.74,0.87,,,,,,,,0.01,0.1,6,,1,1,1,,1,,CompCor,,,Left Postcentral Gyrus (PCG),-61 -7 31,R Superior Occipital,33 -69 39,,,,,,,,,,,,,,,,
40,7,"Shou, X. J., Xu, X. J., Zeng, X. Z., Liu, Y., Yuan, H. S., Xing, Y., ... & Han, J. S. (2017). A volumetric and functional connectivity MRI study of brain arginine-vasopressin pathways in autistic children. Neuroscience bulletin, 33(2), 130-142.",3000,,Notes,Sedated Sleep,3,10,4,12,2,,,,,,4.5,0.74,4.1,0.72,,,,,,,,0.01,0.08,8,1,1,1,1,1,,,,,,Left Amygdala,-21 -4 -23,Right supramarginal gyrus,60 -27 30,,,"The MNI Coordinates of the seed were not found. Paper said it was in supp material but the supp material was not available. But it was mentioned that AAL atlas was used for the seed selection So I used http://neuro.compute.dtu.dk/services/brededatabase/index_roi_tzouriomazoyer.html to get the Talaraich coordinates of the seed regions which was then converted to MNI using http://sprout022.sprout.yale.edu/mni2tal/mni2tal.html.
Children were kept in the scanner for 10-15 minutes but nowhere in the paper was mentioned the exact time.
Gender alog with age was also included as covariates","SPM8, REST 1.8",GE Discovery MR750,4,,1,Original,Sedation using chloral hydrate,None,-,0,"Shou et al examined the involvement of arginine-vaso- pressin (AVP) systems i.e. the brain regions that contain AVP neurons. These regions are hippocampus, amygdala and hypothalamus. They analyzed the volume as well as FC of these structures. The observations were bilaterally shrunken hypothalamus and enlarged left amygdala and left hippocampus. Further FC of left hippocampus and left amygdala revealed underconneced amygdala and supramarginal gyrus and overconned hippocamus and thalamus.","@article{shou2017volumetric,
  title={A volumetric and functional connectivity MRI study of brain arginine-vasopressin pathways in autistic children},
  author={Shou, Xiao-Jing and Xu, Xin-Jie and Zeng, Xiang-Zhu and Liu, Ying and Yuan, Hui-Shu and Xing, Yan and Jia, Mei-Xiang and Wei, Qing-Yun and Han, Song-Ping and Zhang, Rong and others},
  journal={Neuroscience bulletin},
  volume={33},
  number={2},
  pages={130--142},
  year={2017},
  publisher={Springer}
}
",
41,7,,3000,,Notes,Sedated Sleep,3,10,4,12,2,,,,,,4.5,0.74,4.1,0.72,,,,,,,,0.01,0.08,8,1,1,1,1,1,,,,,,Left Amygdala,-21 -4 -23,Left Supramarginal gyrus,-54 -21 24,,,,,,,,,,,,,,,,
42,7,,3000,,Notes,Sedated Sleep,3,10,4,12,2,,,,,,4.5,0.74,4.1,0.72,,,,,,,,0.01,0.08,8,1,1,1,1,1,,,,,,Left Hippocampus,-23 -24 -14,,,right basal ganglia and right thalamic area (rBG/TH),27 -33 -6,,,,,,,,,,,,,,
43,8.1,"Guo, X., Duan, X., Long, Z., Chen, H., Wang, Y., Zheng, J., ... & Chen, H. (2016). Decreased amygdala functional connectivity in adolescents with autism: A resting-state fMRI study. Psychiatry Research: Neuroimaging, 257, 47-56.",3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Fusiform gyrus ,21 3 -45,,,"The supplementary sheet showed the results of analysis without GSR. But as the results were uncorrected, I didnt include those. Also, this study was restricted to regions that were significantly positively correlated with the amygdala. They didnt take into account the voxels that were negative correlated with amygdala coz of issues around GSR. Sex and FIQ was also regressed out. Though later they said that regressing out FIQ didnt have a significant effect. Analysis after scrubbing showed only overlap results and not results independently of each site, so discarded.","SPM8, REST- AlphaSim, DPARSF",Siemens,4,,1,ABIDE 1 (UCLA),,,-,0,"Another study that analyzed amygdala connectivity was by Guo et al in which they independently analyzed 2  datasets from ABIDE -  UCLA and Leuven. They calculated seed-voxel functional connectivity for the whole brain but analyzed only the voxels that were significantly positively correlated with amygdala (which they said was because using GSR in their preprocssing pipeline). The observation was large scale underconnectivity with left /right amygdala in both the datasets, some overconnectivity with right amygdala seed was also observed with UCLA datset. Along with the group differences for individual sites, they also presented the results of connectivity difference that overlapped in these two data sets. ","@article{guo2016decreased,
  title={Decreased amygdala functional connectivity in adolescents with autism: A resting-state fMRI study},
  author={Guo, Xiaonan and Duan, Xujun and Long, Zhiliang and Chen, Heng and Wang, Yifeng and Zheng, Junjie and Zhang, Youxue and Li, Rong and Chen, Huafu},
  journal={Psychiatry Research: Neuroimaging},
  volume={257},
  pages={47--56},
  year={2016},
  publisher={Elsevier}
}
",
44,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Hippocampus,24 -24 -6,,,,,,,,,,,,,,,,
45,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Insula,42 -12 -3,,,,,,,,,,,,,,,,
46,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Pallidum,15 0 0,,,,,,,,,,,,,,,,
47,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Parahippocampal gyrus,24 -33 -9,,,,,,,,,,,,,,,,
48,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Putamen,33 -6 -6,,,,,,,,,,,,,,,,
49,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Rolandic operculum,48 -9 18,,,,,,,,,,,,,,,,
50,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Superior temporal gyrus ,42 -15 0,,,,,,,,,,,,,,,,
51,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Thalamus,15 -18 0,,,,,,,,,,,,,,,,
52,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Cerebelum,-21 -39 -27,,,,,,,,,,,,,,,,
53,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Hippocampus,-12 -39 9,,,,,,,,,,,,,,,,
54,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Rolandic operculum ,-42 -3 18,,,,,,,,,,,,,,,,
55,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Thalamus,-18 -18 6,,,,,,,,,,,,,,,,
56,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Right Amygdala,22 -4 -22,Thalamus,-6 -21 12,Rolandic Opperculum,42 -33 24,,,,,,,,,,,,,,
57,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Right Amygdala,22 -4 -22,Thalamus,3 -15 3,Supramarginal Gyrus,48 -42 27,,,,,,,,,,,,,,
58,8.1,,3000,120,6,,3,16,3,17,1,,,,,,14,1.5,15,1.8,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Right Amygdala,22 -4 -22,,,Superior temporal gyrus,45 -42 15,,,,,,,,,,,,,,
59,8.2,"Guo, X., Duan, X., Long, Z., Chen, H., Wang, Y., Zheng, J., ... & Chen, H. (2016). Decreased amygdala functional connectivity in adolescents with autism: A resting-state fMRI study. Psychiatry Research: Neuroimaging, 257, 47-56.",1667,250,6.54,,3,12,4,9,3,,,,,,14.3,1.6,13.7,1.2,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Temporal pole: superior temporal gyrus,-24 6 -21,,,,,Philips,4,,1,ABIDE 1 (Leuven),,,,-1,,,
60,8.2,,1667,250,6.54,,3,12,4,9,3,,,,,,14.3,1.6,13.7,1.2,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Superior temporal gyrus,-45 -12 -12,,,,,,,,,,,,,,,,
61,8.2,,1667,250,6.54,,3,12,4,9,3,,,,,,14.3,1.6,13.7,1.2,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Caudate,12 9 12,,,,,,,,,,,,,,,,
62,8.2,,1667,250,6.54,,3,12,4,9,3,,,,,,14.3,1.6,13.7,1.2,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Putamen,24 9 12,,,,,,,,,,,,,,,,
63,8.2,,1667,250,6.54,,3,12,4,9,3,,,,,,14.3,1.6,13.7,1.2,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Left Amygdala,-21 -4 -23,Thalamus,18 -12 12,,,,,,,,,,,,,,,,
64,8.2,,1667,250,6.54,,3,12,4,9,3,,,,,,14.3,1.6,13.7,1.2,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Right Amygdala,22 -4 -22,Caudate,18 15 9,,,,,,,,,,,,,,,,
65,8.2,,1667,250,6.54,,3,12,4,9,3,,,,,,14.3,1.6,13.7,1.2,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Right Amygdala,22 -4 -22,Putamen,21 12 6,,,,,,,,,,,,,,,,
66,8.2,,1667,250,6.54,,3,12,4,9,3,,,,,,14.3,1.6,13.7,1.2,,,,,,,,0.01,0.08,8,1,1,1,1,1,1,,,,,Right Amygdala,22 -4 -22,Thalamus,-18 -21 9,,,,,,,,,,,,,,,,
